id,message,category
447,Why is my promo code not working?,
277,I cannot access my account,Account/Login Issue
255,Has the branch accepted my ORDER?,Order Status Inquiry
84,My order was marked delivered too early,Delivery Issue
291,I cannot sign in from the website,Account/Login Issue
220,Is chocolate milk tea available?,Product/Stock Inquiry
256,where is my order in the preparation process?,Order Status Inquiry
231,I need to know whether my order is confirmed Please advise.,Order Status Inquiry
437,"Hello, what are your opening hours?",General Inquiry
373,Is there a special offer this week?.,Promotion/Discount Inquiry
104,Where is my delivery?,Delivery Issue
343,Are there any buy-one-get-one offers?,Promotion/Discount Inquiry
216,Do you have cold drinks available?,Product/Stock Inquiry
338,Do you have a loyalty offer??,Promotion/Discount Inquiry
152,can i cancel after payment?,Refund/Cancellation
271,Can I track the order status?,Order Status Inquiry
339,Why did the coupon disappear at checkout??,Promotion/Discount Inquiry
298,how can i recover my login?,Account/Login Issue
202,"Hi, what are today's available drinks?",Product/Stock Inquiry
435,Can I save multiple addresses?,General Inquiry
319,I need to change my account password,Account/Login Issue
249,is my order still being prepared?,Order Status Inquiry
98,the delivery address is incorrect,Delivery Issue
257,Can you help? is the order ready yet?,Order Status Inquiry
40,I need help with a payment problem!,Payment Issue
61,can i schedule delivery for later?,Delivery Issue
266,Please help. has my order been processed yet?,Order Status Inquiry
135,Can the order be cancelled now?,Refund/Cancellation
382,Is there a discount available for this order? Can you check?,Promotion/Discount Inquiry
72,Please help. i need to update my delivery address,Delivery Issue
207,Do you have this drink at the Kandy branch?,Product/Stock Inquiry
349,Are there any special deals today?,Promotion/Discount Inquiry
101,I am waiting for the courier!,Delivery Issue
275,what does my current order status mean?,Order Status Inquiry
322,"Hi, the password reset link is not working",Account/Login Issue
114,  Can I cancel an ORDER that is being prepared?  ,Refund/Cancellation
263,Please provide an order status update!,Order Status Inquiry
328,"Hello, my password is not working",Account/Login Issue
369,Are there branch-specific promotions?,Promotion/Discount Inquiry
379,Can I apply the offer after placing an order??,Promotion/Discount Inquiry
436,I need help: what currencies do you accept?,General Inquiry
420,I need help: what currencies do you accept?,General Inquiry
226,Can you confirm that my order was received??,Order Status Inquiry
449,I was charged twice,
239,Can you confirm my order is in the system?,Order Status Inquiry
387,Can I save multiple addresses?,General Inquiry
213,which products can i order right now?,Product/Stock Inquiry
218,Can I choose the topping??,Product/Stock Inquiry
404,I need help: what currencies do you accept?,General Inquiry
161,Please cancel and refund my order!,Refund/Cancellation
228,Is my ORDER queued for preparation?,Order Status Inquiry
305,My account is locked,Account/Login Issue
103,the delivery address is incorrect,Delivery Issue
240,Can I track the order status?,Order Status Inquiry
188,Can I choose the topping??,Product/Stock Inquiry
341,Is there a promotion for new customers? Can you check?,Promotion/Discount Inquiry
360,"Hi, is this offer still available?",Promotion/Discount Inquiry
130,I need help: when will the cancelled order be refunded?,Refund/Cancellation
201,Is the small size available??,Product/Stock Inquiry
18,"Hello, my payment has not been reflected in my account",Payment Issue
99,the delivery person is at the wrong location,Delivery Issue
140,How do I request a refund? ASAP.,Refund/Cancellation
58,Why is the delivery late?,Delivery Issue
327,I cannot sign in from the website,Account/Login Issue
225,What is the latest update for my order?,Order Status Inquiry
233,My order status looks stuck,Order Status Inquiry
118,"The product was unavailable, so I want a refund",Refund/Cancellation
29,the checkout payment keeps failing,Payment Issue
375,Can I use this voucher online?,Promotion/Discount Inquiry
124,i want to withdraw my order,Refund/Cancellation
441,My payment is still pending,
401,Do you provide receipts? ASAP.,General Inquiry
386,what services do you provide?,General Inquiry
426,How can I update my email address?,General Inquiry
410,Can I place an order without an account??,General Inquiry
2,the card payment keeps getting declined,Payment Issue
444,Is this product available today?,
77,The rider cannot find my address,Delivery Issue
394,how can I learn more about your products?,General Inquiry
111,How long will my refund take?,Refund/Cancellation
408,what is your customer support number?,General Inquiry
315,My account login is blocked!,Account/Login Issue
391,Where are your branches located?,General Inquiry
1,Why did my payment fail?,Payment Issue
370,Is this item included in the promotion? ASAP.,Promotion/Discount Inquiry
258,What is the current status of my order?,Order Status Inquiry
147,I want the payment returned,Refund/Cancellation
352,can i use a promo code?,Promotion/Discount Inquiry
45,Why was my card charged when the order failed? Please help.,Payment Issue
425,How can I register as a customer??,General Inquiry
176,Can I add extra pearls??,Product/Stock Inquiry
286,I cannot receive the login code.,Account/Login Issue
109,the delivery address is incorrect,Delivery Issue
85,Can the rider call me when nearby?,Delivery Issue
194,Do you have the product shown in the menu? Please help.,Product/Stock Inquiry
44,I cannot pay for my order online,Payment Issue
318,,Account/Login Issue
282,i cannot log into my account,Account/Login Issue
333,Can I get the promotion shown on social media?,Promotion/Discount Inquiry
309,i need help accessing my account,Account/Login Issue
112,I want to request a cancellation,Refund/Cancellation
70,The courier cannot reach my location.,Delivery Issue
221,I want to know the status of my purchase!,Order Status Inquiry
25,my card payment failed but i was charged,Payment Issue
171,Can I change the sweetness level??,Product/Stock Inquiry
230,Can you check whether the order is accepted?,Order Status Inquiry
122,Please help. i need to return this order,Refund/Cancellation
31,the payment failed after I clicked pay,Payment Issue
46,I paid online but received a payment error,Payment Issue
154,i need help with a refund,Refund/Cancellation
439,Do you have a mobile application? Please advise.,General Inquiry
311,The system says my credentials are invalid!,Account/Login Issue
406,What time does the shop open?.,General Inquiry
143,Please return the money to my card.,Refund/Cancellation
66,how long does delivery normally take?,Delivery Issue
342,What offers are available today??,Promotion/Discount Inquiry
337,How do I redeem this voucher??,Promotion/Discount Inquiry
195,I need help: is this product out of stock?,Product/Stock Inquiry
153,The order was cancelled but I have not received my refund!,Refund/Cancellation
232,Can you tell me what is happening with my order? Please advise.,Order Status Inquiry
237,what does my current order status mean?,Order Status Inquiry
281,I am not receiving the OTP,Account/Login Issue
215,do you have this product in stock?,Product/Stock Inquiry
51,I paid online but received a payment error,Payment Issue
317,How do I change my password?,Account/Login Issue
136,I want to cancel my order,Refund/Cancellation
308,  I cannot remember my password ASAP.  ,Account/Login Issue
187,Can I customize the sugar level??,Product/Stock Inquiry
78,My delivery window has already passed,Delivery Issue
357,Can I use a discount on this product? Please help.,Promotion/Discount Inquiry
132,I do not want the order anymore,Refund/Cancellation
302,Why can't I sign in?,Account/Login Issue
82,The delivery status has not changed,Delivery Issue
378,Why did the promotional price not appear??,Promotion/Discount Inquiry
433,Is the branch open on public holidays??,General Inquiry
183,Do you have non-dairy milk? Can you check?,Product/Stock Inquiry
7,"Hi, i paid but the app still says unpaid",Payment Issue
371,Where can I find your latest offers?,Promotion/Discount Inquiry
356,Is the weekend promotion still active? Please advise.,Promotion/Discount Inquiry
416,How can I register as a customer??,General Inquiry
81,i need this order urgently,Delivery Issue
79,The courier has not picked up my ORDER,Delivery Issue
177,can i add extra ice?,Product/Stock Inquiry
253,What is the status of my purchase?,Order Status Inquiry
191,What sizes can I order??,Product/Stock Inquiry
399,How can I contact you about a general question?,General Inquiry
278,I did not receive the verification message,Account/Login Issue
229,My order status has not updated,Order Status Inquiry
267,has my order moved to the next stage?,Order Status Inquiry
67,I need help: the delivery tracking is not updating,Delivery Issue
160,Please help. i need to return this order,Refund/Cancellation
366,Do you have any loyalty promotions?,Promotion/Discount Inquiry
89,Please check with the rider!,Delivery Issue
238,Has the branch started preparing it? ASAP.,Order Status Inquiry
102,The courier has not arrived!,Delivery Issue
254,Can you tell me if my order is confirmed?,Order Status Inquiry
21,I was charged an extra amount at checkout,Payment Issue
48,the payment failed after I clicked pay,Payment Issue
354,Is this discount valid today? Please advise.,Promotion/Discount Inquiry
14,there is an issue with my payment,Payment Issue
395,How can I contact customer support??,General Inquiry
108,The delivery is taking too long Can you check?,Delivery Issue
8,,Payment Issue
47,The payment is still pending Can you check?,Payment Issue
16,The payment gateway rejected my card!,Payment Issue
396,Where can I find your menu?,General Inquiry
52,The payment is still pending Can you check?,Payment Issue
407,How do I contact the branch?,General Inquiry
125,Please confirm that my order is cancelled!,Refund/Cancellation
